director_id,movie_id
13563,B00005U8EZ
18711,B00005U8EQ
29871,B00005U8EP
14295,B005WVUM1E
37790,B005WVUM1E
37806,B005WVUM1E
4161,B000MRA542
6845,B006MWA8O8
3349,B000JUB2UI
36217,B006RXQ6FM
26653,B00005U8EO
12520,B00005U8EN
15036,B00004TXBN
10377,B003K4Y7NO
18424,B003K4Y7NO
22131,B00005U8EF
11128,B00005U8EF
27919,B00005U8EF
11464,B00005U8EF
27431,B00005U8EF
17738,B008H5VFU4
1579,B00005M1Y1
3888,B00005M1Y0
31004,B00005M1Y4
35194,B00005M1Y4
4666,B00005M1Y4
37169,B00005M1Y4
27692,B00005M1Y4
14205,B00005M1Y5
17393,B00005M1Y5
11915,B00005M1Y5
6853,B00005M1Y6
33880,B00005M1Y7
3507,B000TMPDCY
29369,B003BEE7C4
36903,B00081U75O
2523,B00081U75O
22708,B000A7Q2I2
21237,B000LXGW1W
18157,6304580878
22358,6301576152
6311,B000EMGIWI
17638,B007RQP5W8
27125,B00028G4UU
9879,B0062MI5KM
12502,B000068QPR
21514,B009QW6BXS
30376,B003C5FN6Q
15966,B003C5FN6Q
6199,B0042KZJN2
19340,B0042KZJN2
36445,B0042KZJN2
36436,B0013BXW6E
32926,B0012EM5G0
36882,B003QVVJY6
17709,B006HG141A
20990,1569312486
15032,1569312486
25139,1569312486
35250,1569312486
17582,B003NEQ74S
37618,6305306141
31004,B001ILFUDM
13913,B001ILFUDM
38033,B0001GH7V8
28851,B0001GH7V8
35828,B006YSHAU0
27640,B002VL2PTU
32086,B0041QSZG0
22532,B0041QSZG0
30972,B0041QSZG0
10640,B0041QSZG0
779,B0041QSZG0
17691,6301630688
11471,B0042YY542
5493,B000057P5U
13256,B001ILFUD2
6853,B001ILFUD2
2492,B000A3457Q
37501,B0001GH7VS
11824,B0001GH7VS
26529,B00004U8KV
30798,B000I64V24
31967,6301971493
32926,B008IG09KE
18764,B0002I82XW
11626,6304972857
3344,B000F9RL9Y
38722,B000F9RL9Y
39658,B003RLEWOY
17943,B001PHA6PQ
1656,B00004CJ1R
28947,B007HCF5AE
17967,B000F9RL9E
6830,B000F9RL9E
15841,B000F9RL9E
20579,B000F9RL9E
28676,B0007YXPCY
33286,B003CJNFGM
20259,B000Y59D72
10878,B00005NKBV
20405,B00005NKBU
15968,6301813855
39287,B005245E2I
6100,B000050X31
6317,B00005NKBE
6100,B000050X30
8114,6303386326
38809,B00185J7KA
3565,B002NEWO96
6562,B002NEWO96
36324,B000AXWH7G
35589,B000AXWH7G
34429,B000CQQI9O
5286,B000UV00T0
17309,B000CQQI9E
36803,B000IMM3XW
2294,B0015UYTZG
27174,B0000DK4QB
16149,B0001WTVAM
20755,6304653638
35088,6304653638
11416,6304653638
16281,6304653638
34398,6304653638
35249,6304653638
33944,6304653638
28146,6304653638
15486,6304653638
27900,6304653638
24335,B00005KB5B
11207,B008Q00I2Q
689,B0000DK4QE
810,B0000DK4QD
24161,6303039405
35256,B0000DK4QK
39101,B0000DK4QK
26529,B0000DK4QJ
38614,B0000DK4QI
36897,630259751X
23566,B0000DK4QL
35503,B0034ZDUK0
551,6303031498
11315,6303031498
24255,B002W7IH0Y
16715,B0086460CY
26167,B002LEJQNA
17065,B000GGSMNK
16678,B001NA60A0
34273,B0041FZQPE
3835,B0030N1Z8K
8659,1571884327
3692,B000NPFF52
34371,B001KNAI2Q
15718,B005AZHGRU
10282,B000OYCNXY
18721,B000BUBETU
28583,B0084YBB16
2825,B00008YLV0
6807,B00008YLV0
25172,B00008YLV0
35293,B00008YLV1
15839,B0042W2IT8
40021,B0006U5UPO
5882,B00008YLV7
10581,B002C6VMHU
18151,B00008YLV6
20136,B001NFNFMQ
2608,B00819ZCP0
39477,B0010XOKM0
36928,6304520735
25433,6304520735
7121,6304520735
32904,6304520735
37658,6304520735
27299,B00008YLVC
34366,B006OIW2NA
11417,B00005UF9O
19676,B0016H3I46
25426,B001HXDQAU
39670,B002SRWNPI
35503,B005C2TKLQ
17012,6304107242
37857,B005EP7HX4
20746,B004SIP6BI
39755,B00005UF9K
26817,B004USUOX6
26875,B003CRM6PA
21405,B000F0UTW4
26376,B0002J4ZW8
38165,B001AD6UJ6
17678,B008474ZX4
24333,B008CPAX16
206,B00005LKLN
35197,B00018D3XW
20755,B00004RFI6
35088,B00004RFI6
11416,B00004RFI6
16281,B00004RFI6
34398,B00004RFI6
35249,B00004RFI6
33944,B00004RFI6
28146,B00004RFI6
15486,B00004RFI6
27900,B00004RFI6
24852,B00004RFI5
36894,B0000EYVJM
7718,B0000EYVJM
23886,B0000EYVJM
10933,B0000EYVJM
36351,B0000EYVJM
27956,B0041KKZH8
9518,B00005LKLF
1777,B00005LKLF
33603,B000W4CG60
18682,B0002I8336
5556,B00005LKLD
26601,B002L5GDZI
17331,B004TJRD94
8639,B0010XOVSI
18614,B0008ENIMK
33001,B0014ERKO0
31535,B0008ENIM0
2501,B0008ENIM0
24996,B0008ENIM0
16420,B0008ENIM0
4266,B0008ENIM0
8270,6305908028
12084,6305908028
35822,6305908028
9024,6305908028
27236,6305908028
33947,B00018YC3M
35620,B000KCHZ6A
9981,B007H52KA4
3883,B00018YC3W
32926,B001AXTYPI
29559,B000VQYDHY
32419,B000VQYDHY
20505,B000VQYDHY
39359,B000VQYDHY
27092,B000VQYDHY
4740,B003Y5PF80
4749,B000QEITJO
14283,B006NO1SVM
4521,B0001WJN8M
8871,B00005LKL8
9149,B00006D2AQ
3485,B00004RFIK
39837,B000NJMJGQ
20966,B000NJMJGQ
34788,B000NJMJGQ
14503,B000NJMJGQ
29586,B000NJMJGQ
37922,B002NE4HAU
15449,B00004RFIF
24141,B00005LKL7
31353,B00004RFIE
3740,B003LSZFUI
32854,B004R10MA6
615,B001TK29GS
16619,6302650488
39968,6302650488
10935,6302650488
3866,6302650488
39957,6302650488
22393,6302650488
17261,6302650488
30404,6302650488
25142,6302650488
2688,6302650488
6265,B000KKQNRO
32926,B0012EM5GA
29662,B000HXDTHG
33738,B000TJBO16
26924,B006A0R638
32926,B0011FDVK4
28892,B002UIGMYS
36055,B000067J2H
20744,B000067J2J
8068,B000067J2V
29485,B000VNMMRK
12600,B000SVZIJO
10431,B001ELC6FG
23934,B000067J2Z
3985,B000067J2Y
1171,B000067J2X
28261,B000SVZIJY
22482,B00005U142
12482,B0007OCG4W
39176,B00005U145
39306,B003IYZ46A
16148,B00005U14N
14978,B00005U14O
12256,B00005U14H
309,B009M8EA3Y
8344,B00005U14B
2609,B00005U14C
7416,B00005U14E
31023,B00502BGMO
28115,B007HJ9QMA
20589,B007HJ9QMA
34723,B00104FZCI
21354,B000AXWH7Q
22235,1572525835
4221,B0003OXEE2
13058,B0012BUWI6
36719,B005GLHO48
23294,B001T89LXY
39447,B000SQJ28C
3231,B000067J25
36454,B000067J24
28782,6300215067
29793,B00005QVUT
10657,B00005QVUT
13650,B000VULA9E
9586,B002KLQ2XG
34564,B000JJRY7E
10969,B0035AO4WC
26839,B00004CKDV
8221,B0007OP1A8
34991,B008JAG4GW
3197,B00005B7DP
38965,B00180OU66
22309,B000JJRY7Y
35085,B001LOY1IG
33250,B0016PT95A
15938,B001UHXL5S
20305,B000RL08AE
6292,6303079792
30183,B008SAPAYA
11186,B001L2DTXG
9383,B003DQOS8S
34198,B002SVTBFO
31503,B008CN092G
38640,B0001XARPO
7760,B000SRSWXC
2055,B000SRSWXC
3635,B000SRSWXC
2733,B000SRSWXC
20720,B000083EDB
21490,6304696698
21209,B008SAPAYU
26784,B008SAPAYU
21178,B008X1O7KM
29933,B000083EDI
30921,B000083ED1
17666,B00475E0A0
32103,B000083ED4
12466,B005B5PD92
10445,B0002UP0KS
36767,6300207978
26773,B0001Z3HIG
36619,B0000B3FE6
19619,B003SHYYM2
30407,B008M34Y72
33286,B0038NBM6C
30996,B0000C8AXJ
28508,B00008G4H7
26239,B00005JMZQ
1735,B00005JMZQ
33715,B000MGTT4K
14161,B003GAB2LW
35154,6302232163
33715,B000MGTT4U
24973,B000MGTT4U
31132,B0071AD9KK
37280,6303593593
18873,B00005JMZK
32926,B0007OP1AS
14632,B00005JMZA
32926,B001AYMMKQ
15340,B002AJLMNS
12930,B00005NQ51
39221,B00004UTXP
23162,B00005RT3E
3603,6302405939
37705,B00004CTUA
8332,B0089VX0W2
5093,B0006GAI6O
25085,B00004CTUN
37656,B00004CTUN
29965,B00000ACXE
28310,B00000ACXE
2418,B00000ACXE
6429,B00000ACXE
6671,B0010C54D0
35250,B00000JGOY
18173,B003U6SJXQ
